"year","state","sales"
1998,"South Dakota",NA
1999,"South Dakota",NA
2000,"South Dakota",NA
2001,"South Dakota",NA
2002,"South Dakota",NA
2003,"South Dakota",NA
2004,"South Dakota",NA
2005,"South Dakota",NA
2006,"South Dakota",NA
2007,"South Dakota",NA
2008,"South Dakota",NA
2009,"South Dakota",NA
2010,"South Dakota",NA
2011,"South Dakota",NA
2012,"South Dakota",NA
1985,"Tennessee",33.34
1986,"Tennessee",33.34
1987,"Tennessee",33.34
1988,"Tennessee",33.34
1989,"Tennessee",33.34
1990,"Tennessee",33.34
1991,"Tennessee",33.34
1992,"Tennessee",33.34
1993,"Tennessee",33.34
1994,"Tennessee",33.34
1995,"Tennessee",33.34
1996,"Tennessee",33.34
1997,"Tennessee",50
1998,"Tennessee",50
1999,"Tennessee",50
2000,"Tennessee",50
2001,"Tennessee",50
2002,"Tennessee",50
2003,"Tennessee",50
2004,"Tennessee",50
2005,"Tennessee",50
2006,"Tennessee",50
2007,"Tennessee",50
2008,"Tennessee",50
2009,"Tennessee",50
2010,"Tennessee",50
2011,"Tennessee",50
2012,"Tennessee",50
1985,"Texas",NA
1986,"Texas",NA
1987,"Texas",NA
1988,"Texas",NA
1989,"Texas",NA
1990,"Texas",NA
1991,"Texas",NA
1992,"Texas",NA
1993,"Texas",NA
1994,"Texas",NA
1995,"Texas",NA
1996,"Texas",NA
1997,"Texas",NA
1998,"Texas",NA
1999,"Texas",NA
2000,"Texas",NA
2001,"Texas",NA
2002,"Texas",NA
2003,"Texas",NA
2004,"Texas",NA
2005,"Texas",NA
2006,"Texas",NA
2007,"Texas",NA
2008,"Texas",NA
2009,"Texas",NA
2010,"Texas",NA
2011,"Texas",NA
2012,"Texas",NA
1985,"Utah",33.34
1986,"Utah",33.34
1987,"Utah",33.34
1988,"Utah",33.34
1989,"Utah",33.34
1990,"Utah",33.34
1991,"Utah",33.34
1992,"Utah",33.34
1993,"Utah",33.34
1994,"Utah",33.34
1995,"Utah",33.34
1996,"Utah",33.34
1997,"Utah",33.34
1998,"Utah",33.34
1999,"Utah",33.34
2000,"Utah",33.34
2001,"Utah",33.34
2002,"Utah",33.34
2003,"Utah",33.34
2004,"Utah",33.34
2005,"Utah",33.34
2006,"Utah",33.34
2007,"Utah",50
2008,"Utah",50
2009,"Utah",50
2010,"Utah",50
2011,"Utah",100
2012,"Utah",100
1985,"Vermont",33.34
1986,"Vermont",33.34
1987,"Vermont",33.34
1988,"Vermont",33.34
1989,"Vermont",33.34
1990,"Vermont",33.34
1991,"Vermont",33.34
1992,"Vermont",33.34
1993,"Vermont",33.34
1994,"Vermont",33.34
1995,"Vermont",33.34
1996,"Vermont",33.34
1997,"Vermont",33.34
1998,"Vermont",33.34
1999,"Vermont",33.34
2000,"Vermont",33.34
2001,"Vermont",33.34
2002,"Vermont",33.34
2003,"Vermont",33.34
2004,"Vermont",33.34
2005,"Vermont",33.34
2006,"Vermont",50
2007,"Vermont",50
2008,"Vermont",50
2009,"Vermont",50
2010,"Vermont",50
2011,"Vermont",50
2012,"Vermont",50
1985,"Virginia",33.34
1986,"Virginia",33.34
1987,"Virginia",33.34
1988,"Virginia",33.34
1989,"Virginia",33.34
1990,"Virginia",33.34
1991,"Virginia",33.34
1992,"Virginia",33.34
1993,"Virginia",33.34
1994,"Virginia",33.34
1995,"Virginia",33.34
1996,"Virginia",33.34
1997,"Virginia",33.34
1998,"Virginia",33.34
1999,"Virginia",33.34
2000,"Virginia",50
2001,"Virginia",50
2002,"Virginia",50
2003,"Virginia",50
2004,"Virginia",50
2005,"Virginia",50
2006,"Virginia",50
2007,"Virginia",50
2008,"Virginia",50
2009,"Virginia",50
2010,"Virginia",50
2011,"Virginia",50
2012,"Virginia",50
1985,"Washington",NA
1986,"Washington",NA
1987,"Washington",NA
1988,"Washington",NA
1989,"Washington",NA
1990,"Washington",NA
1991,"Washington",NA
1992,"Washington",NA
1993,"Washington",NA
1994,"Washington",NA
1995,"Washington",NA
1996,"Washington",NA
1997,"Washington",NA
1998,"Washington",NA
1999,"Washington",NA
2000,"Washington",NA
2001,"Washington",NA
2002,"Washington",NA
2003,"Washington",NA
2004,"Washington",NA
2005,"Washington",NA
2006,"Washington",NA
2007,"Washington",NA
2008,"Washington",NA
2009,"Washington",NA
2010,"Washington",NA
2011,"Washington",NA
2012,"Washington",NA
1985,"West Virginia",33.34
1986,"West Virginia",50
1987,"West Virginia",50
1988,"West Virginia",50
1989,"West Virginia",50
1990,"West Virginia",50
1991,"West Virginia",50
1992,"West Virginia",50
1993,"West Virginia",50
1994,"West Virginia",50
1995,"West Virginia",50
1996,"West Virginia",50
1997,"West Virginia",50
1998,"West Virginia",50
1999,"West Virginia",50
2000,"West Virginia",50
2001,"West Virginia",50
2002,"West Virginia",50
2003,"West Virginia",50
2004,"West Virginia",50
2005,"West Virginia",50
2006,"West Virginia",50
2007,"West Virginia",50
2008,"West Virginia",50
2009,"West Virginia",50
2010,"West Virginia",50
2011,"West Virginia",50
2012,"West Virginia",50
1985,"Wisconsin",50
1986,"Wisconsin",50
1987,"Wisconsin",50
1988,"Wisconsin",50
1989,"Wisconsin",50
1990,"Wisconsin",50
1991,"Wisconsin",50
1992,"Wisconsin",50
1993,"Wisconsin",50
1994,"Wisconsin",50
1995,"Wisconsin",50
1996,"Wisconsin",50
1997,"Wisconsin",50
1998,"Wisconsin",50
1999,"Wisconsin",50
2000,"Wisconsin",50
2001,"Wisconsin",50
2002,"Wisconsin",50
2003,"Wisconsin",50
2004,"Wisconsin",50
2005,"Wisconsin",50
2006,"Wisconsin",50
2007,"Wisconsin",80
2008,"Wisconsin",100
2009,"Wisconsin",100
2010,"Wisconsin",100
2011,"Wisconsin",100
2012,"Wisconsin",100
1985,"Wyoming",NA
1986,"Wyoming",NA
1987,"Wyoming",NA
1988,"Wyoming",NA
1989,"Wyoming",NA
1990,"Wyoming",NA
1991,"Wyoming",NA
1992,"Wyoming",NA
1993,"Wyoming",NA
1994,"Wyoming",NA
1995,"Wyoming",NA
1996,"Wyoming",NA
1997,"Wyoming",NA
1998,"Wyoming",NA
1999,"Wyoming",NA
2000,"Wyoming",NA
2001,"Wyoming",NA
2002,"Wyoming",NA
2003,"Wyoming",NA
2004,"Wyoming",NA
2005,"Wyoming",NA
2006,"Wyoming",NA
2007,"Wyoming",NA
2008,"Wyoming",NA
2009,"Wyoming",NA
2010,"Wyoming",NA
2011,"Wyoming",NA
2012,"Wyoming",NA
